last_name,first_name,organization
Abernathy,Ryan,Columbia
Apel,E. C.,NCAR
Asher,Elizabeth,NCAR
Atlas,E. L.,University of Miami
Aumont,Olivier,"LOCEAN, CNRS"
Badia,Alba,University of Barcelona
Balch,William,Bigelow
Barletta,Barbara,"University of California, Irvine"
Bates,Nicholas,BIOS
Bates,S. C.,NCAR
Beaulieu,Claudie,"University of California, Santa Cruz"
Behrenfeld,M.,OSU
Bent,Jonathan,NCAR
Bishop,Stuart,UNC
Blake,Donald,"University of California, Santa Cruz"
Bopp,L,IPSL
Boss,E.,U Maine
Bracco,Annalisa,Georgia Tech
Brady,Riley,McKinsey & Company
Brett,G,Johns Hopkins APL
Britten,Gregory.,MIT
Brooks,M,Scripps
Brooks,Cassandra,"University of Colorado, Boulder"
Bryan,Frank,NCAR
Burd,Adrian,U. Georgia
Cabre,A,U Penn
Chase,Alison,University of Maine
Christian,James,Canadian Centre for Climate Modelling and Analysis
Dacey,John,WHOI
Danabasoglu,Gokhan,NCAR
Deutsch,Curtis,Princeton
Doney,Scott,WHOI
Downes,Stephanie,ARC
Dunne,John,GFDL
DuVivier,Alice,NCAR
Eddebbar,Yassir,UCSD
Edwards,James,NCAR
Emerson,Steve,U Washington
Emmons,Louisa,NCAR
Eveleth,R.,Oberlin
Fay,Amanda,U. Wisc.
Feloy,K,U Hawaii
Freeman,Natalie,Scripps
Frenger,Ivy,GEOMAR
Frölicher,Thomas L,ETH
Fu,Weiwei,"University of California, Irvine"
Gaube,Peter,WHOI
Gent,Peter,NCAR
Gienapp,Phillip ,Netherlands Institute of Ecology
Glover,David,WHOI
Graven,H D,Imperial College London
Grooms,Ian,CU Boulder
Grover,Maxwell,NCAR
Gruber,N.,ETH
Hamme,Roberta,U Victoria
Harrison,Cheryl,U Texas
Henson,Stephanie,NOC
Hoecker-Mart√≠nez,M. S.,University of Redlands
Hoecker-Martínez,M.,University of Redlands
Hoffman,Forrest,DOE
Holland,Marika,NCAR
Hornbrook,R. S.,NCAR
Hossaini,Ryan,Lancaster University
Iglesias-Suarez,Fernando,German Aerospace Center
Ilyina,Tatiana,MPI
Ito,Taka,Georgia Tech
Jenouvrier,S,WHOI
Jin,Yuming,Scripps
John,Jasmin,GFDL
Karspeck,A. R.,Fabric RQ
Kavanaugh,Maria,WHOI
Keeling,Ralph,UCSD
Khatiwala,S.,Oxford
Kinnison,D.,NCAR
Koeve,W.,GEOMAR
Kort,Eric,U. Mich
Krumhardt,Kristen,NCAR
Lamarque,J.-F.,NCAR
Large,William,NCAR
Lester,J G,Imperial College London
Letscher,Robert T,UNH
Levine,Naomi,USC
Levy,Michael,NCAR
Lima,Ivan D,WHOI
Lindner,Melanie,Netherlands Institute of Ecology
Lindsay,Keith,NCAR
Lovenduski,Nicole,U. Colorado
Luo,Jessica,GFDL
Maclennan,Michelle,"University of Colorado, Boulder"
Mahowald,Natalie,Cornell
Maltrud,Mathew,LANL
Manizza,Manfredi,Scripps
Marshall,John,MIT
Mazloff,M R,Scripps
McGillicuddy,Dennis,WHOI
McKain,K.,NOAA/CU Boulder
McKinley,Galen,U Wisc.
Meehl,G. A.,NCAR
Meinardi,Simone,NASA
Merrifield,M A,Scripps
Mikaloff-Fletcher,Sara E.,NIWA
Minobe,Shoriro,"University, Sapporo, Japan"
Misumi,K,"Central Research Institute of Electric Power Industry, Japan"
Montzka,Stephen A.,NOAA
Moore,Jefferson,UCI
Morton,Peter,FSU
Muller-Karger,Frank,USF
Munro,David,CU Boulder
Nevison,Cynthia,CU Boulder
Oschlies,A,GEOMAR
Pilcher,Darren,NOAA
Primeau,Francois,UCI
Putman,Nathan F,LGL
Randerson,James T.,"University of California, Irvine"
Resplandy,Laure,Scripps
Richards,Kelvin,U Hawaii
Ringler,Todd,LANL
Rödenbeck,C,Max Planck Institute for Biogeochemistry
Rodgers,Keith,Princeton
Rohr,Tyler,CSIRO
Romnaou,Anastasia,Columbia/GISS
Rosenbloom,Nan,NCAR
Saiz-Lopez,Alfonso,Instituto de Química Física Rocasolano
Sarmiento,Jorge,Princeton
Schauffler,S. M.,NCAR
Schlunegger,S,Princeton
Seferian,Roland,CNRM-GAME
Severinghaus,J,Scripps
Sheevam,Pooja,"University of Nevada, Reno"
Slater,Richard,Princeton University
Small,R. J.,NCAR
Song,Hajoon,MIT
Stephens,Britton,NCAR
Stevens,Jessica,University of Texas Rio Grande Valley 
Strand,William,NCAR
Subramanian,A C,"University of Colorado, Boulder"
Sun,Daoxun,Georgia Tech
Sweeney,Colm,NOAA
Sylvester,Zephyr T,"University of Colorado, Boulder"
Takano,Yohei,"Los Alamos National Lab, DOE"
Tans,P.,NOAA
Teng,H.,NCAR
Thompson,Andrew,Caltech
Tilmes,S.,NCAR
Tjiputra,Jerry,Uni Research
Tortell,Philippe,UBC
Verdy,A,Scripps
Visser,Marcel,Netherlands Institute of Ecology
Vogt,M.,ETH
Wang,Siyuan,NOAA
Whitt,Daniel,NASA/AIMES
Xie,Shang-Ping,Scripps
Yang,Simon,UCLA
Yang,Bo,NOAA
Yashayaev,Igor,Bedford
Yeager,Stephen,NCAR